,noticias,personas_detectadas
9,"Al Pan Pan: Javiera Arce-Riffo y Rafael Prohens sobre Cuenta Pública, apoyo al aborto legal y más","['Javiera Arce-Riffo', 'Rafael Prohens', 'Cuenta Pública']"
27,Defensa de Daniel Jadue apunta a Jorge Sharp en caso farmacias,"['Daniel Jadue', 'Jorge Sharp']"
41,"Presidente Boric a diputado Sergio Bobadilla (UDI): ""No señor, no mienta""","['Presidente Boric', 'Sergio Bobadilla']"
51,"Juntos y Revueltos: Iván Weissman y Rodrigo Castillo sobre condena a Trump, control del litio y más","['Iván Weissman', 'Rodrigo Castillo']"
57,Defensa de Daniel Jadue apunta a Jorge Sharp en caso farmacias,"['Daniel Jadue', 'Jorge Sharp']"
59,Juntos y Revueltos: Marta Lagos y Clarisa Hardy sobre formalización de Daniel Jadue y cuenta pública,"['Marta Lagos', 'Clarisa Hardy', 'Daniel Jadue']"
60,Al Pan Pan: Emiliano Arias y Teresa Ripamonti sobre caso Daniel Jadue y Fintech en Chile,"['Emiliano Arias', 'Teresa Ripamonti', 'Daniel Jadue']"
75,Al Pan Pan: José Miguel Castro e Iván Weissman sobre cuenta pública y acuerdos en el litio,"['José Miguel Castro', 'Iván Weissman']"
76,Juntos y Revueltos: Tamara Vidaurrazaga y Jorge Gómez sobre Daniel Jadue y 'antigabrielismo',"['Tamara Vidaurrazaga', 'Jorge Gómez', 'Daniel Jadue']"
89,Juntos y Revueltos: Tatiana Urrutia y Pablo Mira sobre minuta del gobierno de cara a cuenta pública,"['Tatiana Urrutia', 'Pablo Mira']"
90,Al Pan Pan: Ignacio Walker y Nicole Cardoch sobre actualidad política y cuenta pública,"['Ignacio Walker', 'Nicole Cardoch']"
98,"Cristián Valdivieso de Criteria: José Antonio Kast ""ya no es novedoso""","['Cristián Valdivieso de Criteria', 'José Antonio Kast']"
103,Juntos y Revueltos: Marco Moreno y Cristián Leporati sobre cuenta pública,"['Marco Moreno', 'Cristián Leporati']"
104,"Al Pan Pan: Raúl Soto y Cristián Valdivieso sobre CAE, realidad del gobierno y cuenta pública","['Raúl Soto', 'Cristián Valdivieso']"
107,"A los 84 fallece Eduardo Contreras, el primer querellante en contra de Augusto Pinochet","['Eduardo Contreras', 'Augusto Pinochet']"
135,Juntos y Revueltos: Iván Weissman y Rodrigo Castillo sobre demanda colectiva al servicio eléctrico,"['Iván Weissman', 'Rodrigo Castillo']"
149,Al Pan Pan: Claudia Pizarro y Fernando Reyes sobre Duoc UC en La Pintana y tensiones internacionales,"['Claudia Pizarro', 'Fernando Reyes sobre Duoc UC']"
150,Juntos y Revueltos: Marta Lagos y Clarisa Hardy sobre CAE y cuenta pública,"['Marta Lagos', 'Clarisa Hardy']"
164,Juntos y Revueltos: Jorge Gómez y Tamara Vidaurrazaga sobre condonación al CAE,"['Jorge Gómez', 'Tamara Vidaurrazaga']"
165,"Al Pan Pan: Ximena Ossandón e Iván Weissman sobre dichos de Kast, CAE y actualidad","['Ximena Ossandón', 'Iván Weissman']"
167,Excarabinero Sebastián Zamora enfrenta este miércoles juicio por caso Pío Nono,"['Sebastián Zamora', 'Pío Nono']"
168,Detienen a exmilitar Juan Jara Quintana tras condena por asesinato de Víctor Jara,"['Juan Jara Quintana', 'Víctor Jara']"
179,"Analista político Miguel Ángel Fernández: el momento de José Antonio Kast ""ya pasó""","['Miguel Ángel Fernández', 'José Antonio Kast']"
180,Juntos y Revueltos: Marco Moreno y Cristián Leporati sobre dichos de Kast contra Boric y el CAE,"['Marco Moreno', 'Cristián Leporati']"
181,Al Pan Pan: Francisco Bravo y Miguel Ángel Fernández sobre caso Fuente-Alba y actualidad política,"['Francisco Bravo', 'Miguel Ángel Fernández']"
208,"Juntos y Revueltos: Iván Weissman y Rodrigo Castillo sobre inteligencia artifical, cobre y CAE","['Iván Weissman', 'Rodrigo Castillo']"
209,Al Pan Pan: Juan Diego Montalva y Luis Cuello sobre actualidad política y condonación del CAE,"['Juan Diego Montalva', 'Luis Cuello']"
221,Embajador José Antonio Viera-Gallo presentó sus cartas credenciales al Presidente Javier Milei,"['José Antonio Viera-Gallo', 'Javier Milei']"
223,Piden a Presidente Boric que apoye campaña para que Julian Assange no sea extraditado a EE.UU.,"['Presidente Boric', 'Julian Assange']"
231,Al Pan Pan: Miguel Chaves y Claudia González sobre absolución de Fuente-Alba y crecimiento económico,"['Miguel Chaves', 'Claudia González']"
