Unnamed: 0,noticias,personas_detectadas,inference
27,Defensa de Daniel Jadue apunta a Jorge Sharp en caso farmacias,"['Daniel Jadue', 'Jorge Sharp']"," {
  ""nodes"": [
    { ""id"": 1, ""label"": ""Daniel Jadue"", ""type"": ""person"" },
    { ""id"": 2, ""label"": ""Jorge Sharp"", ""type"": ""person"" },
    { ""id"": 3, ""label"": ""Farmacia"", ""type"": ""organization"" }
  ],
  ""edges"": [
    { ""from"": 1, ""to"": 3, ""label"": ""defends"", ""sentiment"": ""positive"" },
    { ""from"": 1, ""to"": 2, ""label"": ""points at"", ""sentiment"": ""negative"" }
  ]
}"
41,"Presidente Boric a diputado Sergio Bobadilla (UDI): ""No señor, no mienta""","['Presidente Boric', 'Sergio Bobadilla']"," {
  ""nodes"": [
    { ""id"": 1, ""label"": ""Presidente Boric"", ""type"": ""person"" },
    { ""id"": 2, ""label"": ""Sergio Bobadilla"", ""type"": ""person"" }
  ],
  ""edges"": [
    { ""from"": 1, ""to"": 2, ""label"": ""interacted"", ""sentiment"": ""neutral"" }
  ]
}"
51,"Juntos y Revueltos: Iván Weissman y Rodrigo Castillo sobre condena a Trump, control del litio y más","['Iván Weissman', 'Rodrigo Castillo']"," {
  ""nodes"": [
    { ""id"": 1, ""label"": ""Iván Weissman"", ""type"": ""person"" },
    { ""id"": 2, ""label"": ""Rodrigo Castillo"", ""type"": ""person"" },
    { ""id"": 3, ""label"": ""Donald Trump"", ""type"": ""person"" },
    { ""id"": 4, ""label"": ""litio"", ""type"": ""concept"" }
  ],
  ""edges"": [
    { ""from"": 1, ""to"": 3, ""label"": ""discussed"", ""sentiment"": ""neutral"" },
    { ""from"": 1, ""to"": 2, ""label"": ""discussed"", ""sentiment"": ""neutral"" },
    { ""from"": 2, ""to"": 3, ""label"": ""discussed"", ""sentiment"": ""neutral"" },
    { ""from"": 3, ""to"": 4, ""label"": ""control"", ""sentiment"": ""negative"" }
  ]
}"
57,Defensa de Daniel Jadue apunta a Jorge Sharp en caso farmacias,"['Daniel Jadue', 'Jorge Sharp']"," {
  ""nodes"": [
    { ""id"": 1, ""label"": ""Daniel Jadue"", ""type"": ""person"" },
    { ""id"": 2, ""label"": ""Jorge Sharp"", ""type"": ""person"" },
    { ""id"": 3, ""label"": ""Farmacia"", ""type"": ""organization"" }
  ],
  ""edges"": [
    { ""from"": 1, ""to"": 3, ""label"": ""defends"", ""sentiment"": ""positive"" },
    { ""from"": 1, ""to"": 2, ""label"": ""points at"", ""sentiment"": ""negative"" }
  ]
}"
59,Juntos y Revueltos: Marta Lagos y Clarisa Hardy sobre formalización de Daniel Jadue y cuenta pública,"['Marta Lagos', 'Clarisa Hardy', 'Daniel Jadue']"," {
  ""nodes"": [
    { ""id"": 1, ""label"": ""Marta Lagos"", ""type"": ""person"" },
    { ""id"": 2, ""label"": ""Clarisa Hardy"", ""type"": ""person"" },
    { ""id"": 3, ""label"": ""Daniel Jadue"", ""type"": ""person"" }
  ],
  ""edges"": [
    { ""from"": 1, ""to"": 3, ""label"": ""discussed"", ""sentiment"": ""neutral"" },
    { ""from"": 2, ""to"": 3, ""label"": ""discussed"", ""sentiment"": ""neutral"" }
  ]
}"
60,Al Pan Pan: Emiliano Arias y Teresa Ripamonti sobre caso Daniel Jadue y Fintech en Chile,"['Emiliano Arias', 'Teresa Ripamonti', 'Daniel Jadue']"," {
  ""nodes"": [
    { ""id"": 1, ""label"": ""Emiliano Arias"", ""type"": ""person"" },
    { ""id"": 2, ""label"": ""Teresa Ripamonti"", ""type"": ""person"" },
    { ""id"": 3, ""label"": ""Daniel Jadue"", ""type"": ""person"" },
    { ""id"": 4, ""label"": ""Fintech"", ""type"": ""organization"" }
  ],
  ""edges"": [
    { ""from"": 1, ""to"": 3, ""label"": ""discussed"", ""sentiment"": ""neutral"" },
    { ""from"": 2, ""to"": 3, ""label"": ""discussed"", ""sentiment"": ""neutral"" },
    { ""from"": 1, ""to"": 4, ""label"": ""mentioned"", ""sentiment"": ""neutral"" },
    { ""from"": 2, ""to"": 4, ""label"": ""mentioned"", ""sentiment"": ""neutral"" }
 "
75,Al Pan Pan: José Miguel Castro e Iván Weissman sobre cuenta pública y acuerdos en el litio,"['José Miguel Castro', 'Iván Weissman']"," {
  ""nodes"": [
    { ""id"": 1, ""label"": ""José Miguel Castro"", ""type"": ""person"" },
    { ""id"": 2, ""label"": ""Iván Weissman"", ""type"": ""person"" },
    { ""id"": 3, ""label"": ""account public"", ""type"": ""entity"" },
    { ""id"": 4, ""label"": ""litium agreements"", ""type"": ""entity"" }
  ],
  ""edges"": [
    { ""from"": 1, ""to"": 3, ""label"": ""discussed"", ""sentiment"": ""neutral"" },
    { ""from"": 1, ""to"": 4, ""label"": ""discussed"", ""sentiment"": ""neutral"" },
    { ""from"": 2, ""to"": 3, ""label"": ""discussed"", ""sentiment"": ""neutral"" },
    { ""from"": 2, ""to"": 4, ""label"": ""discussed"", ""sentiment"": ""neutral"" }
  ]
}"
76,Juntos y Revueltos: Tamara Vidaurrazaga y Jorge Gómez sobre Daniel Jadue y 'antigabrielismo',"['Tamara Vidaurrazaga', 'Jorge Gómez', 'Daniel Jadue']"," {
  ""nodes"": [
    { ""id"": 1, ""label"": ""Tamara Vidaurrazaga"", ""type"": ""person"" },
    { ""id"": 2, ""label"": ""Jorge Gómez"", ""type"": ""person"" },
    { ""id"": 3, ""label"": ""Daniel Jadue"", ""type"": ""person"" },
    { ""id"": 4, ""label"": ""antigabrielismo"", ""type"": ""group"" }
  ],
  ""edges"": [
    { ""from"": 1, ""to"": 3, ""label"": ""discussed"", ""sentiment"": ""neutral"" },
    { ""from"": 2, ""to"": 3, ""label"": ""discussed"", ""sentiment"": ""neutral"" },
    { ""from"": 1, ""to"": 4, ""label"": ""discussed"", ""sentiment"": ""neutral"" },
    { ""from"": 2, ""to"": 4, ""label"": ""discussed"", ""sentiment"": ""neutral"" }"
89,Juntos y Revueltos: Tatiana Urrutia y Pablo Mira sobre minuta del gobierno de cara a cuenta pública,"['Tatiana Urrutia', 'Pablo Mira']"," {
  ""nodes"": [
    { ""id"": 1, ""label"": ""Tatiana Urrutia"", ""type"": ""person"" },
    { ""id"": 2, ""label"": ""Pablo Mira"", ""type"": ""person"" }
  ],
  ""edges"": [
    { ""from"": 1, ""to"": 2, ""label"": ""discussed"", ""sentiment"": ""neutral"" }
  ]
}"
90,Al Pan Pan: Ignacio Walker y Nicole Cardoch sobre actualidad política y cuenta pública,"['Ignacio Walker', 'Nicole Cardoch']"," {
  ""nodes"": [
    { ""id"": 1, ""label"": ""Ignacio Walker"", ""type"": ""person"" },
    { ""id"": 2, ""label"": ""Nicole Cardoch"", ""type"": ""person"" }
  ],
  ""edges"": [
    { ""from"": 1, ""to"": 2, ""label"": ""discussed"", ""sentiment"": ""neutral"" }
  ]
}"
